Name,Team,Pole Positions,Fastest Laps,Best Finish Position,Best Grid Position,Retirements,Avg Finish Position,Avg Grid Position,Races Led,Points Finishes,Points
Alexander Albon,WIL,0,0,9,6,5,12.6,15.26,0,3,4
Carlos Sainz,FER,3,2,1,1,6,3.5,4.65,8,16,212
Charles Leclerc,FER,9,3,1,1,3,3.35,3.9,13,17,275
Daniel Ricciardo,MCL,0,0,5,4,2,11.78,11.35,0,7,35
Esteban Ocon,ALP,0,0,4,5,2,8.28,11.6,0,14,82
Fernando Alonso,ALP,0,0,5,2,5,8.88,9.0,1,13,71
George Russell,MCD,1,3,2,1,1,4.53,6.65,3,18,231
Kevin Magnussen,HAS,0,0,5,5,4,12.94,13.0,0,6,24
Lance Stroll,AST,0,0,6,5,3,11.72,14.65,0,6,13
Lando Norris,MCL,0,1,3,3,1,7.89,8.2,0,16,111
Lewis Hamilton,MCD,0,2,2,3,1,4.89,6.8,6,18,216
Max Verstappen,RDB,6,5,1,1,2,2.74,3.55,16,18,416
Mick Schumacher,HAS,0,0,6,6,2,13.53,13.95,0,2,12
Nicholas Latifi,WIL,0,0,9,10,4,15.56,17.3,0,1,2
Nico Hülkenberg,AST,0,0,12,17,0,14.5,17.0,0,0,0
Nyck de Vries,WIL,0,0,9,8,0,9.0,8.0,0,0,2
Pierre Gasly,TOR,0,0,5,5,3,11.29,12.05,0,6,23
Sebastian Vettel,AST,0,0,6,9,3,10.56,13.72,1,9,36
Sergio Pérez,RDB,1,3,1,1,3,3.83,5.0,7,18,280
Valtteri Bottas,ALF,0,0,5,5,6,10.2,10.9,0,8,47
Yuki Tsunoda,TOR,0,0,7,8,5,12.93,13.9,0,4,12
Zhou Guanyu,ALF,0,1,8,9,6,13.0,14.3,0,3,6
